x_ethanol,Tbub,y_ethanol,Tdew
0.909485,351.598,0.909485,351.644
0.910065,351.596,0.910065,351.641
0.910643,351.594,0.910643,351.637
0.91122,351.592,0.91122,351.633
0.911796,351.59,0.911796,351.629
0.912372,351.588,0.912372,351.626
0.912946,351.586,0.912946,351.622
0.91352,351.584,0.91352,351.619
0.914093,351.582,0.914093,351.615
0.914664,351.58,0.914664,351.612
0.915235,351.578,0.915235,351.609
0.915805,351.577,0.915805,351.606
0.916375,351.575,0.916375,351.603
0.916943,351.573,0.916943,351.6
0.91751,351.571,0.91751,351.597
0.918077,351.57,0.918077,351.594
0.918642,351.568,0.918642,351.591
0.919207,351.567,0.919207,351.588
0.919771,351.565,0.919771,351.586
0.920334,351.564,0.920334,351.583
0.920896,351.562,0.920896,351.58
0.921457,351.561,0.921457,351.578
0.922017,351.559,0.922017,351.576
0.922577,351.558,0.922577,351.573
0.923135,351.556,0.923135,351.571
0.923693,351.555,0.923693,351.569
0.92425,351.554,0.92425,351.567
0.924806,351.553,0.924806,351.565
0.925361,351.551,0.925361,351.563
0.925915,351.55,0.925915,351.561
0.926469,351.549,0.926469,351.559
0.927021,351.548,0.927021,351.557
0.927573,351.547,0.927573,351.555
0.928124,351.546,0.928124,351.554
0.928674,351.545,0.928674,351.552
0.929223,351.544,0.929223,351.55
0.929771,351.543,0.929771,351.549
0.930319,351.542,0.930319,351.548
0.930865,351.541,0.930865,351.546
0.931411,351.54,0.931411,351.545
0.931956,351.539,0.931956,351.544
0.9325,351.538,0.9325,351.542
0.933043,351.538,0.933043,351.541
0.933586,351.537,0.933586,351.54
0.934128,351.536,0.934128,351.539
0.934668,351.536,0.934668,351.538
0.935208,351.535,0.935208,351.537
0.935747,351.534,0.935747,351.536
0.936286,351.534,0.936286,351.536
0.936823,351.533,0.936823,351.535
0.93736,351.533,0.93736,351.534
0.937896,351.533,0.937896,351.534
0.938431,351.533,0.938431,351.533
0.938965,351.532,0.938965,351.532
0.939499,351.532,0.939499,351.532
0.940031,351.531,0.940031,351.531
0.940563,351.531,0.940563,351.531
0.941094,351.531,0.941094,351.545
0.941624,351.531,0.941624,351.545
